titulo,categoria,descripcion,enlace,imagen,ubicacion,tipo,fecha_extraccion,precio,telefono,detalles,fuente
Conoce los recorridos de La Ruta del Desarrollo,tour,"…   

  Fecha final: 18 de enero 2018 Caquetá 27 de enero                  …",http://www.fontur.com.co/es/newsletter/conoce-los-recorridos-de-la-ruta-del-desarrollo,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.651991,Consultar,,,Fontur
"La Vitrina Turística Anato 2025 cerró con éxito su edición número 44, superando los 50.000 visitantes",informacion_turistica,"…  que el ganador del mejor stand fue el departamento del Caquetá , elegido por votación del público.    

    …  turística por $80 millones.  
•      Primer lugar  : Caquetá , que recibió 16.581 votos de los asistentes al …",http://www.fontur.com.co/es/comunicados/la-vitrina-turistica-anato-2025-cerro-con-exito-su-edicion-numero-44-superando-los,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.653028,Consultar,,,Fontur
"Cerca de 50.000 visitas a la Vitrina Turística Anato 2024 confirman el interés por los destinos de Colombia, #ElPaísDeLaBelleza",aventura,"…  de 46,41 % y en tercer lugar el departamento de Caquetá , con 9.511 votos y una calificación del jurado …  del próximo año.  
   
Por su parte, Buenaventura y Caquetá tendrán la financiación de planes de medios para …",http://www.fontur.com.co/es/comunicados/cerca-de-50000-visitas-la-vitrina-turistica-anato-2024-confirman-el-interes-por-los,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.653028,Consultar,,,Fontur
"Gobierno nacional lanza EMPRETUR, el primer programa de estímulos, incentivos y fomento al sector turístico",proyecto,"…  Litoral Pacífico y los departamentos de Amazonas, Arauca, Caquetá , Guainía, Guaviare, Putumayo, Sucre, Vaupés y …  con operación en los departamentos de Amazonas, Arauca, Caquetá , Guainía, Guaviare, Sucre, Putumayo, Vaupés y …",http://www.fontur.com.co/es/comunicados/gobierno-nacional-lanza-empretur-el-primer-programa-de-estimulos-incentivos-y-fomento,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.654029,Consultar,,,Fontur
Estudiantes de nueve comunidades indígenas se gradúan en Turismo Rural Sostenible,cultural,"…  provenientes de Amazonas, Antioquia, Boyacá, Caldas, Caquetá , Córdoba, Cundinamarca, Guaviare, Meta, Nariño, …",http://www.fontur.com.co/es/comunicados/estudiantes-de-nueve-comunidades-indigenas-se-graduan-en-turismo-rural-sostenible,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.654029,Consultar,,,Fontur
Página actual1,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=0%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.655027,Consultar,,,Fontur
Page2,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=1%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.655027,Consultar,,,Fontur
Page3,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=2%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.656026,Consultar,,,Fontur
Page4,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=3%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.656026,Consultar,,,Fontur
Page5,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=4%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.657028,Consultar,,,Fontur
‌,informacion_turistica,Información turística disponible en Fontur,https://es-la.facebook.com/FONTURcolombia,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.658026,Consultar,,,Fontur
‌,informacion_turistica,Información turística disponible en Fontur,https://x.com/fonturcol,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.659028,Consultar,,,Fontur
‌,informacion_turistica,Información turística disponible en Fontur,https://www.instagram.com/fonturcol,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.659028,Consultar,,,Fontur
‌,informacion_turistica,Información turística disponible en Fontur,https://www.youtube.com/user/Fonturcol,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.660026,Consultar,,,Fontur
‌,informacion_turistica,Información turística disponible en Fontur,https://fontur.com.co/ubicacion,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.660026,Consultar,,,Fontur
Contactenos aquí,informacion_turistica,"Carrera 7 No. 26-20 piso 7, 9 y 24 Edificio Tequendama. Contactenos aquí Nit: 900649119-9 Línea Anticorrupción: 01-800-0124211 Correo Anticorrupción: contactenos@fontur.com.co",https://www.fontur.com.co/servicio-al-cliente/contactenos,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.661028,Consultar,,,Fontur
Política Protección de Datos Personales,informacion_turistica,"Horario de atención: de lunes a viernes de 8 AM a 5:00 PM - Bogotá, Colombia. Política Protección de Datos Personales Aviso de privacidad Términos y condiciones Mapa del Sitio",https://www.fontur.com.co/sites/default/files/2025-07/MGSI-002%20Manual%20de%20Proteccion%20de%20Datos%20Personales.pdf,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.661991,Consultar,,,Fontur
Agenti,informacion_turistica,Información turística disponible en Fontur,https://www.agenti.com.co,,Caquetá,resultado_busqueda,2025-09-08T12:26:34.663027,Consultar,,,Fontur
Se abre con éxito la convocatoria de hoteles para el programa 'Por Los Que Nos Cuidan',hotel,"…  y Magdalena y las ciudades de Mocoa (Putumayo), Florencia ( Caquetá ) y Yopal (Casanare)”, informó Raquel Garavito …",http://www.fontur.com.co/es/comunicados/se-abre-con-exito-la-convocatoria-de-hoteles-para-el-programa-por-los-que-nos-cuidan,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.526951,Consultar,,,Fontur
"El Ministerio de Comercio, Industria y Turismo, Fontur y Anato fortalecen el turismo en cinco destinos de paz a través de capacitaciones y ruedas de negocios",informacion_turistica,"…  negocios en los municipios de Acandí (Chocó), Florencia ( Caquetá ), Mesetas (Meta), Puerto Asís (Putumayo) y San …",http://www.fontur.com.co/es/comunicados/el-ministerio-de-comercio-industria-y-turismo-fontur-y-anato-fortalecen-el-turismo-en,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.526951,Consultar,,,Fontur
"Mincomercio y Fontur presentan la oferta turística de los 32 departamentos del país, durante la vitrina Anato.",informacion_turistica,"…  como Amazonas, Guainía, Putumayo, Guaviare, Chocó y Caquetá .             

            Durante los tres días …",http://www.fontur.com.co/es/comunicados/mincomercio-y-fontur-presentan-la-oferta-turistica-de-los-32-departamentos-del-pais,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.527994,Consultar,,,Fontur
Las regiones contarán con más de $25.000 millones para la promoción turística,informacion_turistica,"…  están Guaviare, Vaupés, Putumayo, Amazonas, Vichada, Caquetá , Guainía, San Agustín, Isnos, Inzá …",http://www.fontur.com.co/es/comunicados/las-regiones-contaran-con-mas-de-25000-millones-para-la-promocion-turistica,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.527994,Consultar,,,Fontur
Víctimas del conflicto armado se gradúan del Diplomado en Turismo Rural Sostenible,informacion_turistica,"…  Santander, La Guajira, Chocó, Bolívar, Cesar, Magdalena, Caquetá , Meta, Tolima, Vichada, Valle del Cauca, …",http://www.fontur.com.co/es/comunicados/victimas-del-conflicto-armado-se-graduan-del-diplomado-en-turismo-rural-sostenible,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.527994,Consultar,,,Fontur
"Firmantes de paz se articulan para consolidar la reconciliación en los territorios, a través del turismo comunitario en los Destinos de Paz",informacion_turistica,"…  de Paz provenientes de los departamentos de Bolívar, Caquetá , Cundinamarca, Guaviare, Tolima y Meta. La …",http://www.fontur.com.co/es/comunicados/firmantes-de-paz-se-articulan-para-consolidar-la-reconciliacion-en-los-territorios,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.528997,Consultar,,,Fontur
"Ministerio de Comercio, Industria y Turismo y Fontur actualizarán los inventarios turísticos en 150 municipios",informacion_turistica,"…  Boyacá, Huila, Tolima, Caldas, Córdoba, Sucre, Putumayo, Caquetá , Nariño, Risaralda, Quindío, Casanare, Meta, …",http://www.fontur.com.co/es/comunicados/ministerio-de-comercio-industria-y-turismo-y-fontur-actualizaran-los-inventarios,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.528997,Consultar,,,Fontur
Mincomercio y Fontur graduaron la Tercera Cohorte del Diplomado en Turismo Rural Sostenible,informacion_turistica,"…  Cundinamarca, Amazonas, Antioquia, Boyacá, Caldas, Caquetá , Casanare, Chocó, Huila, Meta, Santander, Tolima y …",http://www.fontur.com.co/es/comunicados/mincomercio-y-fontur-graduaron-la-tercera-cohorte-del-diplomado-en-turismo-rural,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.529993,Consultar,,,Fontur
Gobierno del Cambio reafirma su compromiso con desarrollo del Turismo Comunitario en Choachí,informacion_turistica,"…  del turismo de Antioquia, Bogotá, Bolívar, Boyacá, Caquetá , Cundinamarca, Chocó, Magdalena, Meta, Nariño, …",http://www.fontur.com.co/es/comunicados/gobierno-del-cambio-reafirma-su-compromiso-con-desarrollo-del-turismo-comunitario-en,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.529993,Consultar,,,Fontur
Primera páginafirst,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.530996,Consultar,,,Fontur
Página actual2,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=1%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.532994,Consultar,,,Fontur
Page3,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=2%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.532994,Consultar,,,Fontur
Page4,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=3%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.533993,Consultar,,,Fontur
Page5,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=4%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:37.533993,Consultar,,,Fontur
Fontur lanza la plataforma “Nos Cuidan”,informacion_turistica,…  Soledad y Sabanalarga (Atlántico); Florencia ( Caquetá ); Tunja (Boyacá); Yopal (Casanare); Mocoa …,http://www.fontur.com.co/es/comunicados/fontur-lanza-la-plataforma-nos-cuidan,,Caquetá,resultado_busqueda,2025-09-08T12:26:39.918066,Consultar,,,Fontur
Estas son las 22 iniciativas finalistas del Reto de Innovación en Turismo Comunitario Colombia,informacion_turistica,"…  Cundinamarca, Huila y Tolima); 2 del corredor Sur ( Caquetá , Nariño y Putumayo) y 2 del corredor Antioquia – …",http://www.fontur.com.co/es/comunicados/estas-son-las-22-iniciativas-finalistas-del-reto-de-innovacion-en-turismo-comunitario,,Caquetá,resultado_busqueda,2025-09-08T12:26:39.918066,Consultar,,,Fontur
"Ministerio de Comercio, Industria y Turismo y Fontur invierten $8.132 millones en proyectos que benefician agencias de viajes y prestadores turísticos",proyecto,"…  benefician a departamentos como Antioquia, Bolívar; Caquetá ; Casanare; Cesar; Chocó; Córdoba; Guainía; …",http://www.fontur.com.co/es/comunicados/ministerio-de-comercio-industria-y-turismo-y-fontur-invierten-8132-millones-en,,Caquetá,resultado_busqueda,2025-09-08T12:26:39.918066,Consultar,,,Fontur
AdventureNext Latin America 2023 permitió más de 700 negocios entre empresarios del turismo locales e internacionales,informacion_turistica,"…  conocieron la oferta de 8 empresarios de Cauca, Caquetá , Putumayo, Meta Nariño y Guaviare, destinos que …",http://www.fontur.com.co/es/comunicados/adventurenext-latin-america-2023-permitio-mas-de-700-negocios-entre-empresarios-del,,Caquetá,resultado_busqueda,2025-09-08T12:26:39.919066,Consultar,,,Fontur
"Ministerio de Comercio, Industria y Turismo aprueba 21 proyectos turísticos por más de $102.000 millones a través del Comité Directivo de Fontur",proyecto,"…  como Antioquia, Córdoba, Vichada, Vaupés, Guaviare, Caquetá , Guainía, Chocó, San Andrés y Providencia, …",http://www.fontur.com.co/es/comunicados/ministerio-de-comercio-industria-y-turismo-aprueba-21-proyectos-turisticos-por-mas-de,,Caquetá,resultado_busqueda,2025-09-08T12:26:39.919066,Consultar,,,Fontur
ABC de la línea estratégica “banco de proyectos de promoción turística”,proyecto,"…  del Guaviare, Vaupés, Putumayo, Amazonas, Vichada, Caquetá , Guainía, el Chocó biogeográfico por poseer y …",http://www.fontur.com.co/es/comunicados/abc-de-la-linea-estrategica-banco-de-proyectos-de-promocion-turistica,,Caquetá,resultado_busqueda,2025-09-08T12:26:39.920066,Consultar,,,Fontur
prueba,informacion_turistica,"…     

  
    En Timbiquí (Cauca) y San Vicente del Caguán ( Caquetá ), el agua ha sido fuente de vida y ahora también …",http://www.fontur.com.co/es/prueba-9,,Caquetá,resultado_busqueda,2025-09-08T12:26:39.920066,Consultar,,,Fontur
"Fontur firmó convenio con Caldas - Manizales, Yopal y Huila para dar inicio al proyecto",proyecto,"…  Huila y Nariño y tres con las alcaldías de Florencia ( Caquetá ), Mocoa (Putumayo) y Yopal (Casanare).  

    

  …",http://www.fontur.com.co/es/comunicados/fontur-firmo-convenio-con-caldas-manizales-yopal-y-huila-para-dar-inicio-al-proyecto,,Caquetá,resultado_busqueda,2025-09-08T12:26:39.921066,Consultar,,,Fontur
Primera páginafirst,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:39.921066,Consultar,,,Fontur
Página anteriorprevious,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=1%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:39.922066,Consultar,,,Fontur
Página actual3,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=2%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:39.924066,Consultar,,,Fontur
Page4,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=3%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:39.924066,Consultar,,,Fontur
Page5,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=4%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:39.925066,Consultar,,,Fontur
MINCOMERCIO EXPIDE Y ENTREGA LA TARJETA DE GUÍA DE TURISMO NÚMERO 6.000,tour,"…  turística de manera considerable en departamentos como Caquetá , Cauca, Valle del Cauca, San Andrés y Providencia, …",http://www.fontur.com.co/es/comunicados/mincomercio-expide-y-entrega-la-tarjeta-de-guia-de-turismo-numero-6000,,Caquetá,resultado_busqueda,2025-09-08T12:26:42.178664,Consultar,,,Fontur
"1.012 campesinos, indígenas y víctimas del conflicto se graduaron del diplomado en Turismo Rural Sostenible",cultural,"…  19  
Bolívar: 30   
Boyacá: 35  
Caldas: 22 Caquetá :35  
Casanare: 35  
Cauca: 41   
Cesar: 27   …",http://www.fontur.com.co/es/comunicados/1012-campesinos-indigenas-y-victimas-del-conflicto-se-graduaron-del-diplomado-en,,Caquetá,resultado_busqueda,2025-09-08T12:26:42.178664,Consultar,,,Fontur
"Se entregan los primeros sellos “Colombia: Destinos de Paz” a víctimas, firmantes, empresas compradoras y otros actores que construyen paz",informacion_turistica,…  La Macarena y Uribe en Meta; Doncello y Florencia en Caquetá ; San José del Guaviare en Guaviare; Corinto en …,http://www.fontur.com.co/es/comunicados/se-entregan-los-primeros-sellos-colombia-destinos-de-paz-victimas-firmantes-empresas,,Caquetá,resultado_busqueda,2025-09-08T12:26:42.179664,Consultar,,,Fontur
El sector turístico se prepara para celebrar el segundo puente festivo del año,informacion_turistica,"…  destinos no tradicionales como Guaviare, Putumayo, Chocó y Caquetá . “Son departamentos en donde se puede disfrutar …",http://www.fontur.com.co/es/comunicados/el-sector-turistico-se-prepara-para-celebrar-el-segundo-puente-festivo-del-ano,,Caquetá,resultado_busqueda,2025-09-08T12:26:42.179664,Consultar,,,Fontur
"En el Día Mundial del Turismo, el Ministerio de Comercio, Industria y Turismo y Fontur lanzan InnovaT360º en 10 ciudades del país",informacion_turistica,"…  de la Cámara de Comercio de Casanare  
7. Florencia, Caquetá : Arquidiócesis de Florencia  
8. Bucaramanga, …",http://www.fontur.com.co/es/comunicados/en-el-dia-mundial-del-turismo-el-ministerio-de-comercio-industria-y-turismo-y-fontur,,Caquetá,resultado_busqueda,2025-09-08T12:26:42.179664,Consultar,,,Fontur
El festival internacional de música sacra llega a los territorios turísticos de paz,evento,"…  de María, Bolívar.  
13 de enero de 2024: Florencia, Caquetá .  
20 de enero de 2024: Cali - Barrió Siloé.  
27 …",http://www.fontur.com.co/es/comunicados/el-festival-internacional-de-musica-sacra-llega-los-territorios-turisticos-de-paz,,Caquetá,resultado_busqueda,2025-09-08T12:26:42.180665,Consultar,,,Fontur
El Gobierno del Cambio ha invertido más de $67.000 millones en desarrollo turístico de los municipios PDET,informacion_turistica,"…  con esta inversión son: Antioquia, Arauca, Bolívar, Caquetá , Cauca, Cesar, Chocó, Córdoba, La Guajira, …",http://www.fontur.com.co/es/comunicados/el-gobierno-del-cambio-ha-invertido-mas-de-67000-millones-en-desarrollo-turistico-de,,Caquetá,resultado_busqueda,2025-09-08T12:26:42.180665,Consultar,,,Fontur
FONTUR Y COTECMAR FIRMAN CONTRATO PARA LA CONSTRUCCIÓN E INSTALACIÓN DE 88 EMBARCADEROS TURÍSTICOS EN EL PAÍS,informacion_turistica,"…  como el Atrato, Cauca, Guaviare, Putumayo, Sinú Casanare, Caquetá , Vaupés, Orinoco, entre otros; en 4 ciénagas …",http://www.fontur.com.co/es/comunicados/fontur-y-cotecmar-firman-contrato-para-la-construccion-e-instalacion-de-88-embarcaderos,,Caquetá,resultado_busqueda,2025-09-08T12:26:42.181664,Consultar,,,Fontur
"Este es el ambicioso plan de infraestructura turística del Ministerio de Comercio, Industria y Turismo, adjudicado a través de Fontur en 2023",proyecto,"…  Antioquia, Arauca, Atlántico, Bolívar, Boyacá, Caldas, Caquetá , Cauca, Cesar, Chocó, Córdoba, Cundinamarca, …",http://www.fontur.com.co/es/comunicados/este-es-el-ambicioso-plan-de-infraestructura-turistica-del-ministerio-de-comercio,,Caquetá,resultado_busqueda,2025-09-08T12:26:42.181664,Consultar,,,Fontur
Gobierno nacional celebra Día Mundial del Turismo con positivo balance de su estrategia 'Turismo por una Cultura de Paz’,tour,"…  de Capacitación y Reincorporación), en La Montañita, Caquetá , se hizo un recorrido, guiado por los firmantes del …",http://www.fontur.com.co/es/comunicados/gobierno-nacional-celebra-dia-mundial-del-turismo-con-positivo-balance-de-su-estrategia,,Caquetá,resultado_busqueda,2025-09-08T12:26:42.182664,Consultar,,,Fontur
Regiones fueron las grandes protagonistas del turismo en la vitrina Anato 2023,proyecto,"…  proyectos ecoturísticos en los departamentos de Caquetá , Guaviare y Meta; y a líderes regionales pioneros …",http://www.fontur.com.co/es/comunicados/regiones-fueron-las-grandes-protagonistas-del-turismo-en-la-vitrina-anato-2023,,Caquetá,resultado_busqueda,2025-09-08T12:26:44.555128,Consultar,,,Fontur
Primera páginafirst,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=0%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:44.555128,Consultar,,,Fontur
Página anteriorprevious,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=3%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:44.556128,Consultar,,,Fontur
Page2,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=1%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:44.557132,Consultar,,,Fontur
Page3,informacion_turistica,Información turística disponible en Fontur,https://www.fontur.com.co?keys=Caquet%C3%A1&page=2%2C0,,Caquetá,resultado_busqueda,2025-09-08T12:26:44.557132,Consultar,,,Fontur
